Date,Ticker,Name,Open,High,Low,Close,Volume,,,,,,,
21-06-21,fb,"Facebook, Inc.",331.09,332.92,327.65,332.29,11337500.00,,,,,,,
22-06-21,fb,"Facebook, Inc.",332.69,339.92,332.60,339.03,15345300.00,,,,,,,
23-06-21,fb,"Facebook, Inc.",339.35,343.42,338.20,340.59,14817800.00,,,,,,,
24-06-21,fb,"Facebook, Inc.",341.85,344.90,341.79,343.18,12329100.00,,,,,,,
25-06-21,fb,"Facebook, Inc.",342.59,344.12,339.68,341.37,14594400.00,,,,,,,
28-06-21,fb,"Facebook, Inc.",342.46,358.14,341.77,355.64,29156100.00,,,,,,,
29-06-21,fb,"Facebook, Inc.",356.27,356.74,349.05,351.89,21417300.00,,,,,,,
30-06-21,fb,"Facebook, Inc.",352.17,352.92,347.17,347.71,15107500.00,,,,,,,
01-07-21,fb,"Facebook, Inc.",346.82,354.67,346.50,354.39,17137000.00,,,,,,,
02-07-21,fb,"Facebook, Inc.",355.10,356.44,352.62,354.70,11521300.00,,,,,,,
21-06-21,amzn,"Amazon.com, Inc.",3476.42,3482.00,3434.00,3453.96,3277100.00,,,,,,,
22-06-21,amzn,"Amazon.com, Inc.",3458.06,3523.78,3456.09,3505.44,3345100.00,,,,,,,
23-06-21,amzn,"Amazon.com, Inc.",3505.00,3521.00,3483.20,3503.82,2813300.00,,,,,,,
24-06-21,amzn,"Amazon.com, Inc.",3507.64,3524.86,3430.85,3449.08,3832000.00,,,,,,,
25-06-21,amzn,"Amazon.com, Inc.",3464.00,3464.82,3394.18,3401.46,3941000.00,,,,,,,
28-06-21,amzn,"Amazon.com, Inc.",3416.00,3448.00,3413.51,3443.89,2242800.00,,,,,,,
29-06-21,amzn,"Amazon.com, Inc.",3438.82,3456.03,3423.03,3448.14,2098400.00,,,,,,,
30-06-21,amzn,"Amazon.com, Inc.",3441.06,3471.60,3435.00,3440.16,2404000.00,,,,,,,
01-07-21,amzn,"Amazon.com, Inc.",3434.61,3457.00,3409.42,3432.97,2037100.00,,,,,,,
02-07-21,amzn,"Amazon.com, Inc.",3451.64,3511.72,3436.92,3510.98,3169400.00,,,,,,,
21-06-21,tsla,"Tesla, Inc.",624.48,631.39,608.88,620.83,24812700.00,,,,,,,
22-06-21,tsla,"Tesla, Inc.",618.25,628.57,615.50,623.71,19158900.00,,,,,,,
23-06-21,tsla,"Tesla, Inc.",632.00,657.20,630.04,656.57,31099200.00,,,,,,,
24-06-21,tsla,"Tesla, Inc.",674.99,697.62,667.61,679.82,45982400.00,,,,,,,
25-06-21,tsla,"Tesla, Inc.",689.58,693.81,668.70,671.87,32496700.00,,,,,,,
28-06-21,tsla,"Tesla, Inc.",671.64,694.70,670.32,688.72,21628200.00,,,,,,,
29-06-21,tsla,"Tesla, Inc.",684.65,687.51,675.89,680.76,17381300.00,,,,,,,
30-06-21,tsla,"Tesla, Inc.",679.77,692.81,678.14,679.70,18924900.00,,,,,,,
01-07-21,tsla,"Tesla, Inc.",683.92,687.99,672.80,677.92,18634500.00,,,,,,,
02-07-21,tsla,"Tesla, Inc.",678.98,700.00,673.26,678.90,27054500.00,,,,,,,
Total,,,48461.05,332.92,3483.20,1517.10,463779400.00,,,,,,,
